srcrouter,nexthop,weight
aal+AC0-hs+AC0-1,hdh+AC0-dhbw+AC0-1,400
aal+AC0-hs+AC0-1,sgd+AC0-ph+AC0-1,400
aal+AC0-hs+AC0-1,shl+AC0-hs+AC0-2,400
alb+AC0-hs+AC0-1,sig+AC0-hs+AC0-1,400
alb+AC0-hs+AC0-1,tue+AC0-wae+AC0-1,400
bib+AC0-hs+AC0-1,ulm+AC0-n26+AC0-1,400
bib+AC0-hs+AC0-1,wei+AC0-hs+AC0-1,400
boe+AC0-1,hor+AC0-dhbw+AC0-1,400
boe+AC0-1,stu+AC0-eti+AC0-a99,400
ess+AC0-hs+AC0-1,goe+AC0-hs+AC0-1,400
ess+AC0-hs+AC0-1,nue+AC0-hs+AC0-1,400
ess+AC0-hs+AC0-1,stu+AC0-eti+AC0-a99,400
fdh+AC0-dhbw+AC0-1,kon+AC0-rz+AC0-1,400
fdh+AC0-dhbw+AC0-1,rav+AC0-dhbw+AC0-1,400
fds+AC0-stw+AC0-1,hor+AC0-dhbw+AC0-1,400
fds+AC0-stw+AC0-1,keh+AC0-hs+AC0-1,400
fra+AC0-decix+AC0-a99,fra+AC0-tc+AC0-a99,4
fra+AC0-decix+AC0-a99,fra+AC0-tc+AC0-a99,4
fra+AC0-decix+AC0-a99,hdl+AC0-rz+AC0-1,40
fra+AC0-decix+AC0-a99,stu+AC0-eti+AC0-a99,4
fra+AC0-decix+AC0-a99,stu+AC0-eti+AC0-a99,4
fra+AC0-tc+AC0-a99,fra+AC0-decix+AC0-a99,4
fra+AC0-tc+AC0-a99,fra+AC0-decix+AC0-a99,4
fra+AC0-tc+AC0-a99,kar+AC0-rz+AC0-a99,4
fra+AC0-tc+AC0-a99,kar+AC0-rz+AC0-a99,4
frb+AC0-kg+AC0-1,frb+AC0-rz+AC0-1,40
frb+AC0-kg+AC0-1,frb+AC0-rz+AC0-2,400
frb+AC0-kg+AC0-1,kon+AC0-rz+AC0-1,40
frb+AC0-kg+AC0-1,loe+AC0-dhbw+AC0-1,400
frb+AC0-rz+AC0-1,frb+AC0-kg+AC0-1,40
frb+AC0-rz+AC0-1,frb+AC0-rz+AC0-2,400
frb+AC0-rz+AC0-1,frb+AC0-rz+AC0-2,400
frb+AC0-rz+AC0-1,kar+AC0-rz+AC0-a99,40
frb+AC0-rz+AC0-1,ofg+AC0-hs+AC0-1,400
frb+AC0-rz+AC0-2,frb+AC0-kg+AC0-1,400
frb+AC0-rz+AC0-2,frb+AC0-rz+AC0-1,400
frb+AC0-rz+AC0-2,frb+AC0-rz+AC0-1,400
fuw+AC0-hs+AC0-1,ofg+AC0-hs+AC0-1,400
fuw+AC0-hs+AC0-1,vis+AC0-hs+AC0-1,400
gei+AC0-hs+AC0-1,goe+AC0-hs+AC0-1,400
gei+AC0-hs+AC0-1,ulm+AC0-n25+AC0-1,100
goe+AC0-hs+AC0-1,ess+AC0-hs+AC0-1,400
goe+AC0-hs+AC0-1,gei+AC0-hs+AC0-1,400
hdh+AC0-dhbw+AC0-1,aal+AC0-hs+AC0-1,400
hdh+AC0-dhbw+AC0-1,ulm+AC0-n26+AC0-1,400
hdl+AC0-city+AC0-1,hdl+AC0-rz+AC0-1,400
hdl+AC0-city+AC0-1,mos+AC0-dhbw+AC0-2,400
hdl+AC0-rz+AC0-1,fra+AC0-decix+AC0-a99,40
hdl+AC0-rz+AC0-1,hdl+AC0-city+AC0-1,400
hdl+AC0-rz+AC0-1,man+AC0-rz+AC0-1,40
hlb+AC0-hs+AC0-1,kue+AC0-hs+AC0-1,400
hlb+AC0-hs+AC0-1,lbg+AC0-ph+AC0-1,400
hlb+AC0-hs+AC0-1,mar+AC0-dla+AC0-1,400
hlb+AC0-hs+AC0-1,mos+AC0-dhbw+AC0-2,400
hlb+AC0-hs+AC0-1,stu+AC0-eti+AC0-a99,400
hlb+AC0-hs+AC0-1,stu+AC0-eti+AC0-a99,400
hor+AC0-dhbw+AC0-1,boe+AC0-1,400
hor+AC0-dhbw+AC0-1,fds+AC0-stw+AC0-1,400
hor+AC0-dhbw+AC0-1,keh+AC0-hs+AC0-1,400
hor+AC0-dhbw+AC0-1,stu+AC0-eti+AC0-a99,400
kar+AC0-bib+AC0-1,kar+AC0-rz+AC0-1,40
kar+AC0-bib+AC0-1,ofg+AC0-hs+AC0-1,400
kar+AC0-bib+AC0-1,pfo+AC0-hs+AC0-1,400
kar+AC0-bib+AC0-1,stu+AC0-al30+AC0-1,40
kar+AC0-nord+AC0-1,kar+AC0-rz+AC0-a99,400
kar+AC0-nord+AC0-1,man+AC0-schl+AC0-1,400
kar+AC0-rz+AC0-1,kar+AC0-bib+AC0-1,40
kar+AC0-rz+AC0-1,kar+AC0-rz+AC0-a99,40
kar+AC0-rz+AC0-a99,fra+AC0-tc+AC0-a99,4
kar+AC0-rz+AC0-a99,fra+AC0-tc+AC0-a99,4
kar+AC0-rz+AC0-a99,frb+AC0-rz+AC0-1,40
kar+AC0-rz+AC0-a99,kar+AC0-nord+AC0-1,400
kar+AC0-rz+AC0-a99,kar+AC0-rz+AC0-1,40
kar+AC0-rz+AC0-a99,man+AC0-schl+AC0-1,40
kar+AC0-rz+AC0-a99,stu+AC0-eti+AC0-a99,4
kar+AC0-rz+AC0-a99,stu+AC0-eti+AC0-a99,4
keh+AC0-hs+AC0-1,fds+AC0-stw+AC0-1,400
keh+AC0-hs+AC0-1,hor+AC0-dhbw+AC0-1,400
keh+AC0-hs+AC0-1,ofg+AC0-hs+AC0-1,400
kon+AC0-bib+AC0-1,kon+AC0-rz+AC0-1,40
kon+AC0-bib+AC0-1,tue+AC0-wae+AC0-1,40
kon+AC0-bib+AC0-1,tut+AC0-hs+AC0-1,400
kon+AC0-rz+AC0-1,fdh+AC0-dhbw+AC0-1,400
kon+AC0-rz+AC0-1,frb+AC0-kg+AC0-1,40
kon+AC0-rz+AC0-1,kon+AC0-bib+AC0-1,40
kon+AC0-rz+AC0-1,loe+AC0-dhbw+AC0-1,400
kon+AC0-rz+AC0-1,rav+AC0-dhbw+AC0-1,400
kue+AC0-hs+AC0-1,hlb+AC0-hs+AC0-1,400
kue+AC0-hs+AC0-1,shl+AC0-hs+AC0-2,400
kue+AC0-hs+AC0-1,shl+AC0-hs+AC0-2,4000
lbg+AC0-fa+AC0-1,lbg+AC0-ph+AC0-1,400
lbg+AC0-fa+AC0-1,stu+AC0-eti+AC0-a99,400
lbg+AC0-ph+AC0-1,hlb+AC0-hs+AC0-1,400
lbg+AC0-ph+AC0-1,lbg+AC0-fa+AC0-1,400
lbg+AC0-ph+AC0-1,mar+AC0-dla+AC0-1,400
lbg+AC0-ph+AC0-1,stu+AC0-eti+AC0-a99,400
loe+AC0-dhbw+AC0-1,frb+AC0-kg+AC0-1,400
loe+AC0-dhbw+AC0-1,kon+AC0-rz+AC0-1,400
man+AC0-rz+AC0-1,hdl+AC0-rz+AC0-1,40
man+AC0-rz+AC0-1,man+AC0-schl+AC0-1,40
man+AC0-schl+AC0-1,kar+AC0-nord+AC0-1,400
man+AC0-schl+AC0-1,kar+AC0-rz+AC0-a99,40
man+AC0-schl+AC0-1,man+AC0-rz+AC0-1,40
mar+AC0-dla+AC0-1,hlb+AC0-hs+AC0-1,400
mar+AC0-dla+AC0-1,lbg+AC0-ph+AC0-1,400
mos+AC0-dhbw+AC0-2,hdl+AC0-city+AC0-1,400
mos+AC0-dhbw+AC0-2,hlb+AC0-hs+AC0-1,400
nue+AC0-hs+AC0-1,ess+AC0-hs+AC0-1,400
nue+AC0-hs+AC0-1,reu+AC0-hs+AC0-1,400
ofg+AC0-hs+AC0-1,frb+AC0-rz+AC0-1,400
ofg+AC0-hs+AC0-1,fuw+AC0-hs+AC0-1,400
ofg+AC0-hs+AC0-1,kar+AC0-bib+AC0-1,400
ofg+AC0-hs+AC0-1,keh+AC0-hs+AC0-1,400
pfo+AC0-hs+AC0-1,kar+AC0-bib+AC0-1,400
pfo+AC0-hs+AC0-1,stu+AC0-al30+AC0-1,400
rav+AC0-dhbw+AC0-1,fdh+AC0-dhbw+AC0-1,400
rav+AC0-dhbw+AC0-1,kon+AC0-rz+AC0-1,400
rav+AC0-dhbw+AC0-1,sig+AC0-hs+AC0-1,400
rav+AC0-dhbw+AC0-1,wei+AC0-hs+AC0-1,400
reu+AC0-hs+AC0-1,nue+AC0-hs+AC0-1,400
reu+AC0-hs+AC0-1,tue+AC0-wae+AC0-1,900
rot+AC0-hs+AC0-1,tue+AC0-mor+AC0-1,400
rot+AC0-hs+AC0-1,tue+AC0-wae+AC0-1,400
sgd+AC0-ph+AC0-1,aal+AC0-hs+AC0-1,400
sgd+AC0-ph+AC0-1,shl+AC0-hs+AC0-2,400
shl+AC0-hs+AC0-2,aal+AC0-hs+AC0-1,400
shl+AC0-hs+AC0-2,kue+AC0-hs+AC0-1,400
shl+AC0-hs+AC0-2,kue+AC0-hs+AC0-1,4000
shl+AC0-hs+AC0-2,sgd+AC0-ph+AC0-1,400
sig+AC0-hs+AC0-1,alb+AC0-hs+AC0-1,400
sig+AC0-hs+AC0-1,rav+AC0-dhbw+AC0-1,400
stu+AC0-al30+AC0-1,kar+AC0-bib+AC0-1,40
stu+AC0-al30+AC0-1,pfo+AC0-hs+AC0-1,400
stu+AC0-al30+AC0-1,stu+AC0-eti+AC0-1,40
stu+AC0-al30+AC0-1,ulm+AC0-n26+AC0-1,400
stu+AC0-eti+AC0-1,stu+AC0-al30+AC0-1,40
stu+AC0-eti+AC0-1,stu+AC0-eti+AC0-a99,40
stu+AC0-eti+AC0-a99,boe+AC0-1,400
stu+AC0-eti+AC0-a99,ess+AC0-hs+AC0-1,400
stu+AC0-eti+AC0-a99,fra+AC0-decix+AC0-a99,4
stu+AC0-eti+AC0-a99,fra+AC0-decix+AC0-a99,4
stu+AC0-eti+AC0-a99,hlb+AC0-hs+AC0-1,400
stu+AC0-eti+AC0-a99,hlb+AC0-hs+AC0-1,400
stu+AC0-eti+AC0-a99,hor+AC0-dhbw+AC0-1,400
stu+AC0-eti+AC0-a99,kar+AC0-rz+AC0-a99,4
stu+AC0-eti+AC0-a99,kar+AC0-rz+AC0-a99,4
stu+AC0-eti+AC0-a99,lbg+AC0-fa+AC0-1,400
stu+AC0-eti+AC0-a99,lbg+AC0-ph+AC0-1,400
stu+AC0-eti+AC0-a99,stu+AC0-eti+AC0-1,40
stu+AC0-eti+AC0-a99,tue+AC0-mor+AC0-1,40
stu+AC0-eti+AC0-a99,ulm+AC0-n25+AC0-1,400
tro+AC0-mh+AC0-1,tut+AC0-hs+AC0-1,400
tro+AC0-mh+AC0-1,vis+AC0-hs+AC0-1,400
tue+AC0-mor+AC0-1,rot+AC0-hs+AC0-1,400
tue+AC0-mor+AC0-1,stu+AC0-eti+AC0-a99,40
tue+AC0-mor+AC0-1,tue+AC0-wae+AC0-1,40
tue+AC0-wae+AC0-1,alb+AC0-hs+AC0-1,400
tue+AC0-wae+AC0-1,kon+AC0-bib+AC0-1,40
tue+AC0-wae+AC0-1,reu+AC0-hs+AC0-1,900
tue+AC0-wae+AC0-1,rot+AC0-hs+AC0-1,400
tue+AC0-wae+AC0-1,tue+AC0-mor+AC0-1,40
tue+AC0-wae+AC0-1,tut+AC0-hs+AC0-1,400
tut+AC0-hs+AC0-1,kon+AC0-bib+AC0-1,400
tut+AC0-hs+AC0-1,tro+AC0-mh+AC0-1,400
tut+AC0-hs+AC0-1,tue+AC0-wae+AC0-1,400
tut+AC0-hs+AC0-1,vis+AC0-hs+AC0-1,400
ulm+AC0-n25+AC0-1,gei+AC0-hs+AC0-1,400
ulm+AC0-n25+AC0-1,stu+AC0-eti+AC0-a99,400
ulm+AC0-n25+AC0-1,ulm+AC0-n26+AC0-1,400
ulm+AC0-n26+AC0-1,bib+AC0-hs+AC0-1,400
ulm+AC0-n26+AC0-1,hdh+AC0-dhbw+AC0-1,400
ulm+AC0-n26+AC0-1,stu+AC0-al30+AC0-1,400
ulm+AC0-n26+AC0-1,ulm+AC0-n25+AC0-1,400
vis+AC0-hs+AC0-1,fuw+AC0-hs+AC0-1,400
vis+AC0-hs+AC0-1,tro+AC0-mh+AC0-1,400
vis+AC0-hs+AC0-1,tut+AC0-hs+AC0-1,400
wei+AC0-hs+AC0-1,bib+AC0-hs+AC0-1,400
wei+AC0-hs+AC0-1,rav+AC0-dhbw+AC0-1,400
